ab,MajorCelltype,correlation,order,celltype,max
CD268,lymphocyte,0.040532056356186,a,Bcell,1.6413564568579
CD40,lymphocyte,0.136944464501577,a,Bcell,1.7896331964687
human-IgM,lymphocyte,NA,a,Bcell,1.88908123146328
CD52,lymphocyte,0.143447164085739,a,Bcell,2.09466144908442
CD69,lymphocyte,0.252647162917696,a,Bcell,2.25500624398583
human-IgD,lymphocyte,NA,a,Bcell,2.45350631451309
CD22,lymphocyte,-0.015281970257472,a,Bcell,3.23998516876739
CD20,lymphocyte,-0.009351304730454,a,Bcell,3.49972676940142
CD45RA,lymphocyte,0.419271008049501,a,Bcell,3.5162808807703
CD19,lymphocyte,0.051291429764028,a,Bcell,4.14701042489905
CD21,lymphocyte,0.016157179764524,a,Bcell,4.27003297995805
CD54,lymphocyte,0.286129702492566,a,Bcell_plasma,1.90697258607765
CD352,lymphocyte,0.153352987721513,a,Bcell_plasma,1.95013381617548
TCR-Valpha7-2,lymphocyte,NA,a,Bcell_plasma,3.20656811760582
CD319,lymphocyte,0.024882688812752,a,Bcell_plasma,3.60397043186608
CD38,lymphocyte,0.18107907814031,a,Bcell_plasma,4.78539155398304
CD26,lymphocyte,0.233752268648549,a,CD4,2.61009908723355
CD127,lymphocyte,0.136869025075734,a,CD4,2.81442928534756
CD226,lymphocyte,0.039820133149139,a,CD8,1.59730224319364
CD48,lymphocyte,0.326362780817837,a,CD8,1.70800474564479
integrin-beta-7,lymphocyte,0.089526176142781,a,CD8,1.84583654557422
CD314,lymphocyte,0.118682840729568,a,CD8,2.00410569307956
CD195,lymphocyte,0.0946250433257,a,CD8,2.41685563587934
CD2,lymphocyte,0.328715202479469,a,CD8,2.43705444906547
CD7,lymphocyte,0.148149390251127,a,CD8,2.88573405304011
CD103,lymphocyte,-0.010715160186805,a,CD8,2.89120210471244
CD8,lymphocyte,0.240201986660076,a,CD8,3.95833930732843
CD11a,lymphocyte,0.146795697225732,a,CD8_6_1_3,1.57412138428339
CD279,lymphocyte,0.077883666591615,a,CD8_6_1_3,1.71312958712741
CD3,lymphocyte,0.278481353026194,a,CD8_6_1_3,2.45383353278175
KLRG1,lymphocyte,0.098804125418721,a,CD8_6_1_3,2.81893743159044
CD122,lymphocyte,0.053915111968496,a,NKT,1.93203808532468
CD335,lymphocyte,0.029322347357036,a,NKT,1.95509568288628
CD158b,lymphocyte,0.053322959025135,a,NKT,2.02873274280092
CD158e1,lymphocyte,0.017567024230674,a,NKT,2.1618074598116
CD161,lymphocyte,0.097322650157843,a,NKT,2.1893141170634
